datafield_id,dataset_id,data_category,data_type
accounts_payable,fundamental6,,MATRIX
adv20,pv1,,MATRIX
anl10_bpsff_4316,analyst10,,MATRIX
anl10_bpsfy1_consensus_4306,analyst10,,MATRIX
anl10_bpsfy1_pred_surps_v0_4328,analyst10,,MATRIX
anl10_bpsfy1_pred_surps_v1_4334,analyst10,,MATRIX
anl10_bpsfy1_pred_surps_v2_4304,analyst10,,MATRIX
anl10_bpsfy1_smart_ests_v0_4327,analyst10,,MATRIX
anl10_bpsfy1_smart_ests_v1_4330,analyst10,,MATRIX
anl10_bpsfy1_smart_ests_v2_4319,analyst10,,MATRIX
anl10_bpsfy2_consensus_4336,analyst10,,MATRIX
anl10_bpsfy2_pred_surps_v0_4329,analyst10,,MATRIX
anl10_bpsfy2_pred_surps_v1_4317,analyst10,,MATRIX
anl10_bpsfy2_pred_surps_v2_4331,analyst10,,MATRIX
anl10_bpsfy2_smart_ests_v0_4315,analyst10,,MATRIX
anl10_bpsfy2_smart_ests_v1_4300,analyst10,,MATRIX
anl10_bpsfy2_smart_ests_v2_4310,analyst10,,MATRIX
anl10_bpsinnovate_decrease_fy1,analyst10,,MATRIX
anl10_bpsinnovate_decrease_fy2,analyst10,,MATRIX
anl10_bpsinnovate_increase_fy1,analyst10,,MATRIX
anl10_bpsinnovate_increase_fy2,analyst10,,MATRIX
anl10_bpsinnovation_score_fy1,analyst10,,MATRIX
anl10_bpsinnovation_score_fy2,analyst10,,MATRIX
anl10_bpsnormal_decrease_fy1,analyst10,,MATRIX
anl10_bpsnormal_decrease_fy2,analyst10,,MATRIX
anl10_bpsnormal_increase_fy1,analyst10,,MATRIX
anl10_bpsnormal_increase_fy2,analyst10,,MATRIX
anl10_bpsrevise_ratio_to_close_fy1,analyst10,,MATRIX
anl10_bpsrevise_ratio_to_close_fy2,analyst10,,MATRIX
anl10_bpsrevise_ratio_to_consensus_fy1,analyst10,,MATRIX
anl10_bpsrevise_ratio_to_consensus_fy2,analyst10,,MATRIX
anl10_bpsrevise_value_fy1,analyst10,,MATRIX
anl10_bpsrevise_value_fy2,analyst10,,MATRIX
anl10_bpssmun_1qf_4318,analyst10,,MATRIX
anl10_bpssmun_1yf_4303,analyst10,,MATRIX
anl10_bpssmun_2qf_4299,analyst10,,MATRIX
anl10_bpssmun_2yf_4311,analyst10,,MATRIX
anl10_cpxff_4174,analyst10,,MATRIX
anl10_cpxfy1_consensus_4169,analyst10,,MATRIX
anl10_cpxfy1_pred_surps_v0_4205,analyst10,,MATRIX
anl10_cpxfy1_pred_surps_v1_4194,analyst10,,MATRIX
anl10_cpxfy1_pred_surps_v2_4196,analyst10,,MATRIX
anl10_cpxfy1_smart_ests_v0_4173,analyst10,,MATRIX
anl10_cpxfy1_smart_ests_v1_4197,analyst10,,MATRIX
anl10_cpxfy1_smart_ests_v2_4171,analyst10,,MATRIX
anl10_cpxfy2_consensus_4178,analyst10,,MATRIX
anl10_cpxfy2_pred_surps_v0_4170,analyst10,,MATRIX
anl10_cpxfy2_pred_surps_v1_4180,analyst10,,MATRIX
anl10_cpxfy2_pred_surps_v2_4167,analyst10,,MATRIX
anl10_cpxfy2_smart_ests_v0_4188,analyst10,,MATRIX
anl10_cpxfy2_smart_ests_v1_4200,analyst10,,MATRIX
anl10_cpxfy2_smart_ests_v2_4193,analyst10,,MATRIX
